FromC,ToC,From,To,Time,Distance,Cost,Mode,fromProvince,toProvince
1,17,Kepulauan Seribu,Sumedang,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,18,Kepulauan Seribu,Indramayu,5.426900670519132,199.34971982923335,19.65229568799473,0,DKI Jakarta,Jawa Barat
1,18,Kepulauan Seribu,Indramayu,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Barat
1,18,Kepulauan Seribu,Indramayu,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,19,Kepulauan Seribu,Subang,4.137528281394898,153.29004675597764,21.107544627286643,0,DKI Jakarta,Jawa Barat
1,19,Kepulauan Seribu,Subang,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Barat
1,19,Kepulauan Seribu,Subang,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,20,Kepulauan Seribu,Purwakarta,3.2649907595977465,122.52007780924562,6.058574321855319,0,DKI Jakarta,Jawa Barat
1,20,Kepulauan Seribu,Purwakarta,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Barat
1,20,Kepulauan Seribu,Purwakarta,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,21,Kepulauan Seribu,Karawang,3.355573896435549,86.62219440084843,8.514962192172344,0,DKI Jakarta,Jawa Barat
1,21,Kepulauan Seribu,Karawang,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Barat
1,21,Kepulauan Seribu,Karawang,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,22,Kepulauan Seribu,Bekasi,2.5780467944554046,63.87678907608207,5.0803612709774075,0,DKI Jakarta,Jawa Barat
1,22,Kepulauan Seribu,Bekasi,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Barat
1,22,Kepulauan Seribu,Bekasi,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,23,Kepulauan Seribu,Bandung Barat,5.6080508482481,183.45134848240644,15.036330691716778,0,DKI Jakarta,Jawa Barat
1,23,Kepulauan Seribu,Bandung Barat,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Barat
1,23,Kepulauan Seribu,Bandung Barat,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,24,Kepulauan Seribu,Kota Bogor,2.043460759243911,72.11344170160075,6.716712289062607,0,DKI Jakarta,Jawa Barat
1,24,Kepulauan Seribu,Kota Bogor,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Barat
1,24,Kepulauan Seribu,Kota Bogor,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,25,Kepulauan Seribu,Kota Sukabumi,3.6488579191799335,125.6447515079447,6.337915870934674,0,DKI Jakarta,Jawa Barat
1,25,Kepulauan Seribu,Kota Sukabumi,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Barat
1,25,Kepulauan Seribu,Kota Sukabumi,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,26,Kepulauan Seribu,Kota Bandung,4.824157331706843,180.18123064653193,10.868021663553336,0,DKI Jakarta,Jawa Barat
1,26,Kepulauan Seribu,Kota Bandung,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Barat
1,26,Kepulauan Seribu,Kota Bandung,0.0,0.0,0.0,2,DKI Jakarta,Jawa Barat
1,27,Kepulauan Seribu,Kota Cirebon,6.322588253736692,240.6272358206586,8.319753175249193,0,DKI Jakarta,Jawa Barat
